,Duration,Closure Hour,Closure Minute,Closure Second,Bridge,Date,Year,Month,Day
98,33268,9,1,48,1st Ave S,2015-12-15,2015,12,15
99,70261,18,4,8,1st Ave S,2015-12-15,2015,12,15
100,85280,13,29,50,1st Ave S,2015-12-14,2015,12,14
101,84598,13,1,57,1st Ave S,2015-12-14,2015,12,14
102,80684,12,30,20,1st Ave S,2015-12-14,2015,12,14
103,81047,10,42,38,1st Ave S,2015-12-14,2015,12,14
104,26931,9,2,9,1st Ave S,2015-12-14,2015,12,14
105,81721,16,23,6,1st Ave S,2015-12-14,2015,12,14
106,73626,14,58,51,1st Ave S,2015-12-13,2015,12,13
107,81551,11,17,33,1st Ave S,2015-12-13,2015,12,13
108,81543,8,23,5,1st Ave S,2015-12-13,2015,12,13
109,43178,6,52,54,1st Ave S,2015-12-13,2015,12,13
110,80300,18,34,53,1st Ave S,2015-12-13,2015,12,13
111,81715,16,43,2,1st Ave S,2015-12-13,2015,12,13
112,72131,15,18,0,1st Ave S,2015-12-12,2015,12,12
113,81979,11,7,8,1st Ave S,2015-12-12,2015,12,12
114,82509,9,41,17,1st Ave S,2015-12-12,2015,12,12
115,83584,8,28,23,1st Ave S,2015-12-12,2015,12,12
116,48844,7,37,33,1st Ave S,2015-12-12,2015,12,12
117,81512,20,59,29,1st Ave S,2015-12-12,2015,12,12
118,82702,19,25,13,1st Ave S,2015-12-12,2015,12,12
119,74266,18,11,37,1st Ave S,2015-12-12,2015,12,12
120,85460,14,46,32,1st Ave S,2015-12-11,2015,12,11
121,81256,14,20,40,1st Ave S,2015-12-11,2015,12,11
122,81586,12,43,18,1st Ave S,2015-12-11,2015,12,11
123,81768,11,11,46,1st Ave S,2015-12-11,2015,12,11
124,84560,9,44,59,1st Ave S,2015-12-11,2015,12,11
125,40563,9,4,48,1st Ave S,2015-12-11,2015,12,11
126,80711,20,8,15,1st Ave S,2015-12-11,2015,12,11
127,68166,18,21,9,1st Ave S,2015-12-11,2015,12,11
128,79120,13,7,12,1st Ave S,2015-12-10,2015,12,10
129,81108,10,53,13,1st Ave S,2015-12-10,2015,12,10
130,38978,9,11,53,1st Ave S,2015-12-10,2015,12,10
131,80840,19,49,15,1st Ave S,2015-12-10,2015,12,10
132,73768,18,5,25,1st Ave S,2015-12-10,2015,12,10
133,84672,14,20,50,1st Ave S,2015-12-09,2015,12,09
134,81395,13,37,39,1st Ave S,2015-12-09,2015,12,09
135,33411,12,6,23,1st Ave S,2015-12-09,2015,12,09
136,81715,21,4,7,1st Ave S,2015-12-09,2015,12,09
137,81520,19,33,3,1st Ave S,2015-12-09,2015,12,09
138,74803,18,1,58,1st Ave S,2015-12-09,2015,12,09
139,81502,14,35,22,1st Ave S,2015-12-08,2015,12,08
140,84856,13,4,27,1st Ave S,2015-12-08,2015,12,08
141,80992,12,32,14,1st Ave S,2015-12-08,2015,12,08
142,80250,10,53,56,1st Ave S,2015-12-08,2015,12,08
143,76053,9,3,45,1st Ave S,2015-12-08,2015,12,08
144,29816,6,0,56,1st Ave S,2015-12-08,2015,12,08
145,81639,14,10,14,1st Ave S,2015-12-07,2015,12,07
146,82829,12,44,29,1st Ave S,2015-12-07,2015,12,07
147,81407,11,36,8,1st Ave S,2015-12-07,2015,12,07
148,37667,9,59,0,1st Ave S,2015-12-07,2015,12,07
149,80158,20,18,12,1st Ave S,2015-12-07,2015,12,07
150,69774,18,27,45,1st Ave S,2015-12-07,2015,12,07
151,81895,13,38,1,1st Ave S,2015-12-06,2015,12,06
152,83015,12,14,35,1st Ave S,2015-12-06,2015,12,06
153,81486,11,8,10,1st Ave S,2015-12-06,2015,12,06
154,78467,9,39,6,1st Ave S,2015-12-06,2015,12,06
155,47136,7,17,43,1st Ave S,2015-12-06,2015,12,06
156,80812,20,7,47,1st Ave S,2015-12-06,2015,12,06
157,75163,18,26,3,1st Ave S,2015-12-06,2015,12,06
158,82296,15,5,52,1st Ave S,2015-12-05,2015,12,05
159,78784,13,48,26,1st Ave S,2015-12-05,2015,12,05
160,81232,11,31,56,1st Ave S,2015-12-05,2015,12,05
161,73114,9,52,11,1st Ave S,2015-12-05,2015,12,05
162,56736,6,0,29,1st Ave S,2015-12-05,2015,12,05
163,82042,21,30,28,1st Ave S,2015-12-05,2015,12,05
164,81607,20,0,16,1st Ave S,2015-12-05,2015,12,05
165,85115,18,32,41,1st Ave S,2015-12-05,2015,12,05
166,71656,18,2,32,1st Ave S,2015-12-05,2015,12,05
167,83763,13,47,30,1st Ave S,2015-12-04,2015,12,04
168,84929,12,59,28,1st Ave S,2015-12-04,2015,12,04
169,74917,12,28,0,1st Ave S,2015-12-04,2015,12,04
170,17317,9,6,26,1st Ave S,2015-12-04,2015,12,04
171,83739,13,34,2,1st Ave S,2015-12-03,2015,12,03
172,84780,12,39,39,1st Ave S,2015-12-03,2015,12,03
173,82533,12,3,53,1st Ave S,2015-12-03,2015,12,03
174,85011,9,40,19,1st Ave S,2015-12-03,2015,12,03
175,33353,9,3,57,1st Ave S,2015-12-03,2015,12,03
