id,created_at,text
752679286306271233,2016-07-12 01:41:40,The Montlake Bridge has reopened to traffic   - 6:41:38 PM
752679272611913728,2016-07-12 01:41:37,The University Bridge has reopened to   traffic - 6:41:34 PM
752678303933149185,2016-07-12 01:37:46,The Montlake Bridge has closed to traffic -   6:37:44 PM
752677358465785856,2016-07-12 01:34:00,The University Bridge has closed to traffic   - 6:33:58 PM
752674139974930432,2016-07-12 01:21:13,The Fremont Bridge has reopened to traffic -   6:21:11 PM
752672951426699264,2016-07-12 01:16:30,The Fremont Bridge has closed to traffic -   6:16:27 PM
752670664276848641,2016-07-12 01:07:24,The Ballard Bridge has reopened to traffic -   6:07:21 PM
752670429316206596,2016-07-12 01:06:28,The Fremont Bridge has reopened to traffic -   6:06:24 PM
752669249185861633,2016-07-12 01:01:47,The Fremont Bridge has closed to traffic -   6:01:42 PM
752669105027555328,2016-07-12 01:01:13,The Ballard Bridge has closed to traffic - 6:01:03 PM
752665453852450816,2016-07-12 00:46:42,The Lower Spokane St Bridge has reopened to   traffic - 5:46:40 PM
752660261232750592,2016-07-12 00:26:04,The Lower Spokane St Bridge has closed to   traffic - 5:26:02 PM
752639589160931329,2016-07-11 23:03:56,The Fremont Bridge has reopened to traffic -   4:03:53 PM
752638268085182464,2016-07-11 22:58:41,The Fremont Bridge has closed to traffic -   3:58:37 PM
752636645468282880,2016-07-11 22:52:14,The Ballard Bridge has reopened to traffic -   3:52:11 PM
752634843633115136,2016-07-11 22:45:04,The Ballard Bridge has closed to traffic -   3:45:01 PM
752624254441562112,2016-07-11 22:02:59,The Fremont Bridge has reopened to traffic - 3:02:49 PM
752623368268967936,2016-07-11 21:59:28,The Fremont Bridge has closed to traffic -   2:59:25 PM
752620580289990657,2016-07-11 21:48:24,The Fremont Bridge has reopened to traffic -   2:48:21 PM
752618435415158786,2016-07-11 21:39:52,The Fremont Bridge has closed to traffic -   2:39:49 PM
752609258370273280,2016-07-11 21:03:24,The Montlake Bridge has reopened to traffic   - 2:03:23 PM
752608041392939008,2016-07-11 20:58:34,The Montlake Bridge has closed to traffic -   1:58:31 PM
752601214295035904,2016-07-11 20:31:26,The University Bridge has reopened to   traffic - 1:31:24 PM
752599587320246273,2016-07-11 20:24:58,The University Bridge has closed to traffic   - 1:24:54 PM
752590930507476992,2016-07-11 19:50:34,The Ballard Bridge has reopened to traffic -   12:50:33 PM
752589740755423232,2016-07-11 19:45:51,The Ballard Bridge has closed to traffic -   12:45:46 PM
752588368316231681,2016-07-11 19:40:24,The Montlake Bridge has reopened to traffic   - 12:40:19 PM
752586220476084224,2016-07-11 19:31:51,The Montlake Bridge has closed to traffic -   12:31:49 PM
752586201798811648,2016-07-11 19:31:47,The Ballard Bridge has reopened to traffic -   12:31:44 PM
752584953603383296,2016-07-11 19:26:49,The University Bridge has reopened to   traffic - 12:26:47 PM
752584921344929792,2016-07-11 19:26:42,The Ballard Bridge has closed to traffic -   12:26:23 PM
752581478710587392,2016-07-11 19:13:01,The University Bridge has closed to traffic   - 12:12:59 PM
752579433504972800,2016-07-11 19:04:53,The 1st Ave S Bridge has reopened to traffic   - 12:04:51 PM
752579240458018816,2016-07-11 19:04:07,The Fremont Bridge has reopened to traffic -   12:04:02 PM
752577660677566465,2016-07-11 18:57:51,The Fremont Bridge has closed to traffic -   11:57:48 AM
752576852854648837,2016-07-11 18:54:38,The 1st Ave S Bridge has closed to traffic -   11:54:36 AM
752575997766021124,2016-07-11 18:51:14,The South Park Bridge has reopened to   traffic - 11:51:12 AM
752575056086048770,2016-07-11 18:47:30,The Ballard Bridge has reopened to traffic -   11:47:25 AM
752575029460635648,2016-07-11 18:47:23,The South Park Bridge has closed to traffic   - 11:47:20 AM
752573651325636608,2016-07-11 18:41:55,The Ballard Bridge has closed to traffic -   11:41:50 AM
752555253120110592,2016-07-11 17:28:48,The 1st Ave S Bridge has reopened to traffic   - 10:28:46 AM
752553277007343616,2016-07-11 17:20:57,The 1st Ave S Bridge has closed to traffic -   10:20:53 AM
752547221166366721,2016-07-11 16:56:53,The Lower Spokane St Bridge has reopened to   traffic - 9:56:51 AM
752544071382540288,2016-07-11 16:44:22,The Lower Spokane St Bridge has closed to   traffic - 9:44:19 AM
752537304598667264,2016-07-11 16:17:29,The Ballard Bridge has reopened to traffic -   9:17:26 AM
752536023330983937,2016-07-11 16:12:24,The Ballard Bridge has closed to traffic -   9:12:20 AM
752535429803421696,2016-07-11 16:10:02,The Fremont Bridge has reopened to traffic -   9:09:58 AM
752533368760180737,2016-07-11 16:01:51,The Fremont Bridge has closed to traffic -   9:01:48 AM
752514949771997184,2016-07-11 14:48:39,The Lower Spokane St Bridge has reopened to   traffic - 7:48:37 AM
752511222017200128,2016-07-11 14:33:50,The Lower Spokane St Bridge has closed to   traffic - 7:33:48 AM
752355733702717440,2016-07-11 04:15:59,The Lower Spokane St Bridge has reopened to   traffic - 9:15:56 PM
752351597372403712,2016-07-11 03:59:33,The Lower Spokane St Bridge has closed to   traffic - 8:59:30 PM
752321554847928320,2016-07-11 02:00:10,The Fremont Bridge has reopened to traffic -   7:00:06 PM
752320724895797248,2016-07-11 01:56:52,The Fremont Bridge has closed to traffic -   6:56:49 PM
752301271470616576,2016-07-11 00:39:34,The 1st Ave S Bridge has reopened to traffic   - 5:39:31 PM
752300432894996480,2016-07-11 00:36:14,The 1st Ave S Bridge has closed to traffic -   5:36:12 PM
752300410405216256,2016-07-11 00:36:09,The Lower Spokane St Bridge has reopened to   traffic - 5:36:04 PM
752298083556270081,2016-07-11 00:26:54,The Lower Spokane St Bridge has closed to   traffic - 5:26:48 PM
752281460007063552,2016-07-10 23:20:51,The 1st Ave S Bridge has closed to traffic -   4:20:32 PM
752279934660325376,2016-07-10 23:14:47,The Fremont Bridge has reopened to traffic -   4:14:45 PM
752278862675841024,2016-07-10 23:10:32,The Fremont Bridge has closed to traffic -   4:10:30 PM
752278844090953729,2016-07-10 23:10:27,The Montlake Bridge has reopened to traffic   - 4:10:25 PM
752278644333031426,2016-07-10 23:09:40,The Montlake Bridge has closed to traffic -   4:09:37 PM
752278619364352000,2016-07-10 23:09:34,The Fremont Bridge has reopened to traffic -   4:09:31 PM
752276824097366017,2016-07-10 23:02:26,The University Bridge has reopened to   traffic - 4:02:24 PM
