,bridge,event,text,created_at,local_date
45,Fremont,open,The Fremont Bridge has reopened to traffic -   9:19:30 AM,2016-09-23 16:19:36,2016-09-23 09:19:36
44,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   9:35:10 AM,2016-09-23 16:35:12,2016-09-23 09:35:12
43,Ballard,closed,The Ballard Bridge has closed to traffic -   9:50:30 AM,2016-09-23 16:50:35,2016-09-23 09:50:35
42,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 9:50:36 AM,2016-09-23 16:50:40,2016-09-23 09:50:40
41,Ballard,open,The Ballard Bridge has reopened to traffic -   9:54:09 AM,2016-09-23 16:54:11,2016-09-23 09:54:11
40,Fremont,closed,The Fremont Bridge has closed to traffic -   10:04:54 AM,2016-09-23 17:04:56,2016-09-23 10:04:56
39,Fremont,open,The Fremont Bridge has reopened to traffic -   10:08:48 AM,2016-09-23 17:08:51,2016-09-23 10:08:51
38,Fremont,closed,The Fremont Bridge has closed to traffic -   10:28:38 AM,2016-09-23 17:28:40,2016-09-23 10:28:40
37,Fremont,open,The Fremont Bridge has reopened to traffic -   10:33:59 AM,2016-09-23 17:34:02,2016-09-23 10:34:02
36,Fremont,closed,The Fremont Bridge has closed to traffic -   10:43:32 AM,2016-09-23 17:43:34,2016-09-23 10:43:34
35,Fremont,open,The Fremont Bridge has reopened to traffic -   10:45:54 AM,2016-09-23 17:45:56,2016-09-23 10:45:56
34,Fremont,closed,The Fremont Bridge has closed to traffic -   10:56:10 AM,2016-09-23 17:56:12,2016-09-23 10:56:12
33,Fremont,open,The Fremont Bridge has reopened to traffic -   11:05:20 AM,2016-09-23 18:05:23,2016-09-23 11:05:23
32,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   11:05:25 AM,2016-09-23 18:05:27,2016-09-23 11:05:27
31,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 11:12:51 AM,2016-09-23 18:12:55,2016-09-23 11:12:55
30,Ballard,closed,The Ballard Bridge has closed to traffic -   11:12:58 AM,2016-09-23 18:13:00,2016-09-23 11:13:00
29,Ballard,open,The Ballard Bridge has reopened to traffic -   11:22:48 AM,2016-09-23 18:22:52,2016-09-23 11:22:52
28,South Park,closed,The South Park Bridge has closed to traffic   - 11:22:54 AM,2016-09-23 18:22:59,2016-09-23 11:22:59
27,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 11:23:00 AM,2016-09-23 18:23:03,2016-09-23 11:23:03
26,South Park,open,The South Park Bridge has reopened to   traffic - 11:26:48 AM,2016-09-23 18:26:55,2016-09-23 11:26:55
25,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 11:33:02 AM,2016-09-23 18:33:05,2016-09-23 11:33:05
24,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   11:41:46 AM,2016-09-23 18:41:48,2016-09-23 11:41:48
23,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 11:50:49 AM,2016-09-23 18:50:52,2016-09-23 11:50:52
22,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 12:08:38 PM,2016-09-23 19:08:41,2016-09-23 12:08:41
21,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 12:18:06 PM,2016-09-23 19:18:08,2016-09-23 12:18:08
20,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   12:18:34 PM,2016-09-23 19:18:37,2016-09-23 12:18:37
19,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 12:26:10 PM,2016-09-23 19:26:13,2016-09-23 12:26:13
18,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 12:26:15 PM,2016-09-23 19:26:17,2016-09-23 12:26:17
17,Lower Spokane St,open,The Lower Spokane St Bridge has reopened to   traffic - 12:32:49 PM,2016-09-23 19:32:56,2016-09-23 12:32:56
16,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   12:36:13 PM,2016-09-23 19:36:16,2016-09-23 12:36:16
15,1st Ave S,open,The 1st Ave S Bridge has reopened to traffic   - 12:50:38 PM,2016-09-23 19:50:42,2016-09-23 12:50:42
14,South Park,closed,The South Park Bridge has closed to traffic   - 12:50:45 PM,2016-09-23 19:50:47,2016-09-23 12:50:47
13,South Park,open,The South Park Bridge has reopened to   traffic - 12:59:43 PM,2016-09-23 19:59:46,2016-09-23 12:59:46
