,bridge,event_close,text_close,created_at_close,local_date_close,event_open,text_open,created_at_open,local_date_open
0,Montlake,closed,The Montlake Bridge has closed to traffic -   7:51:37 PM,2016-10-09 02:51:47,2016-10-08 19:51:47,open,The Montlake Bridge has reopened to traffic   - 7:58:08 PM,2016-10-09 02:58:10,2016-10-08 19:58:10
1,South Park,closed,The South Park Bridge has closed to traffic   - 10:38:40 AM,2016-10-10 17:38:44,2016-10-10 10:38:44,open,The South Park Bridge has reopened to   traffic - 10:45:55 AM,2016-10-10 17:45:58,2016-10-10 10:45:58
2,1st Ave S,closed,The 1st Ave S Bridge has closed to traffic -   1:34:51 PM,2016-10-10 20:34:53,2016-10-10 13:34:53,open,The 1st Ave S Bridge has reopened to traffic   - 1:42:44 PM,2016-10-10 20:42:46,2016-10-10 13:42:46
3,Lower Spokane St,closed,The Lower Spokane St Bridge has closed to   traffic - 2:41:50 PM,2016-10-10 21:41:51,2016-10-10 14:41:51,open,The Lower Spokane St Bridge has reopened to   traffic - 2:53:00 PM,2016-10-10 21:53:03,2016-10-10 14:53:03
4,Fremont,closed,"The Fremont Bridge has closed to traffic -
  6:33:09 PM",2016-10-11 01:33:12,2016-10-10 18:33:12,open,"The Fremont Bridge has reopened to traffic -
  6:42:48 PM",2016-10-11 01:42:51,2016-10-10 18:42:51
5,University,closed,"The University Bridge has closed to traffic
  - 6:48:06 PM",2016-10-11 01:48:09,2016-10-10 18:48:09,open,"The University Bridge has reopened to
  traffic - 6:51:56 PM",2016-10-11 01:51:58,2016-10-10 18:51:58
6,Ballard,closed,"The Ballard Bridge has closed to traffic -
  6:52:00 PM",2016-10-11 01:52:03,2016-10-10 18:52:03,open,"The Ballard Bridge has reopened to traffic -
  7:00:29 PM",2016-10-11 02:00:32,2016-10-10 19:00:32
